Date,Regular,Diesel,,
10/19/2022,3.85,5.32,,
10/20/2022,3.84,5.34,,
10/21/2022,3.82,5.34,,
10/22/2022,3.80,5.33,,
10/23/2022,3.80,5.33,,
10/24/2022,3.79,5.33,,
10/25/2022,3.78,5.32,,
10/26/2022,3.76,5.32,,
10/27/2022,3.76,5.31,,
10/28/2022,3.76,5.31,,
10/29/2022,3.76,5.31,,
10/30/2022,3.76,5.31,,
10/31/2022,3.76,5.31,,
11/1/2022,3.76,5.31,,
11/2/2022,3.77,5.31,,
11/3/2022,3.78,5.31,,
11/4/2022,3.79,5.31,,
11/5/2022,3.80,5.33,,
11/6/2022,3.80,5.33,,
11/7/2022,3.80,5.34,,
11/8/2022,3.80,5.35,,
11/9/2022,3.81,5.36,,
11/10/2022,3.80,5.36,,
11/11/2022,3.79,5.37,,
11/12/2022,3.78,5.37,,
11/13/2022,3.78,5.36,,
11/14/2022,3.77,5.36,,
11/15/2022,3.76,5.36,,
11/16/2022,3.74,5.35,,
11/17/2022,3.73,5.34,,
11/18/2022,3.71,5.33,,
11/19/2022,3.68,5.32,,
11/20/2022,3.67,5.31,,
11/21/2022,3.66,5.30,,
11/22/2022,3.64,5.29,,
11/23/2022,3.61,5.27,,
11/24/2022,3.59,5.25,,
11/25/2022,3.58,5.25,,
11/26/2022,3.57,5.23,,
11/27/2022,3.56,5.23,,
11/28/2022,3.55,5.22,,
11/29/2022,3.52,5.20,,
11/30/2022,3.50,5.18,,
12/1/2022,3.47,5.15,,
12/2/2022,3.45,5.13,,
12/3/2022,3.43,5.11,,
12/4/2022,3.41,5.10,,
12/5/2022,3.40,5.08,,
