,2022-11-30
97,"""Foot-Long Blood Clots"" From mRNA, Says Pathologist Dr. Ryan Cole w/ Dr Kelly Victory – Ask Dr. Drew https://t.co/7Owo68rIHs
We need Nuremberg 2.0!
#MAGA #2A #gas #gasprice #gasprices #oil #economy #recession #vote #USA #guns #4chan #pedopeter #PedoHitler #PedoHitlerBiden"
98,"$BAS 6.5, credit suisse selling finished. 21 tcf gas + 845mmbbls oil potential and Operating cashflows positive for just $10m EV 🤦‍♂️ https://t.co/HEDFK0iaLs"
99,NSS - Woodside new oil and gas projects pay off quicker than ‘new energy’ https://t.co/RNdaRVO6wc
100,@POTUS Not everything. Everything includes domestic oil &amp; gas production
101,"U.S. gas prices plunge toward $3 a gallon as demand drops worldwide

https://t.co/L423mWxLr2"
102,"@BradPorcellato Democrats:  ""Big oil is bad for the environment we need to phase it out.

Also democrats: ""Gas prices are so high because of big oil! "" (has never seen a lithium mine)"
103,@MariaMCasey @guardian @MariaMCasey do you know that alot of these ancient sites hold knowledge of superior technology that being withheld from us. These mega structures could not be done without a large amount of electricity. How could they get electricity without drilling for oil and gas 🤔🤔🤔🤔.
104,"@DavidStaplesYEG No pipelines to tide water
28 LNG projects collapsed
2 Major recessions resulting in $250B in lost capital projects.

Yes, that was Harper

1 pipeline for oil and gas to tidewater
+1 offshore 
1 LNG project to tidewater
multiple internal pipelines completed
Yes, that is Trudeau."
105,@CAgovernor @GavinNewsom Newsom is very adamant about blaming oil companies for high state gas taxes and strict regulations within his state
106,@RealJamesWoods Phase out oil for coal and natural gas lol
107,"@Tesla @elonmusk Ok. Electric cars are not transitioning to sustainable energy. What charges those batteries?  Coal, oil and natural gas. Can we just please be honest about that one teeny tiny price of this."
108,@CAgovernor @GavinNewsom California is making a killing on every gallon of gas that we commoners buy in this State. You are accusing the oil executives exactly what you and the Democrat leadership are doing to us…….
109,"Biden and the White House have often called increased gas prices the “Putin price hike,” while also blaming oil companies for high energy prices, but some experts have said Biden’s hostility to fossil fuel production has fueled higher gas prices.
https://t.co/eLeHvXtQhK"
110,"Podoy Club Car Tune Up Kit with Air Oil Fuel Filter Spark Plug for 1992-2004 Golf Cart DS Gas Y897DFN

https://t.co/Hi9wnIURMd https://t.co/aad9QPZKEx"
111,@Bob131313 It means they won't put up with the communist trash that Trudeau &amp; his limp sidekick Singh wish to foist on them. It means they won't allow a WEF sock puppet to destroy gas &amp; oil or take their guns. Only the truly stupid would see this as a problem. We do NOT answer to Trudeau.
112,"@emilioe__ @ChidiNwatu @Jim_Jordan I am not, but there is global inflation, which you can try to pin on Biden all you want. Gas prices can definitely be linked to Trump telling Saudi Arabia to cut oil supply. But I’m more concerned about rises in hate crime, school shootings, and revocation of human rights."
113,"Basically comes to this:
Without energy you have nothing, but energy is not everything.

What oil, gas and coal good for when the machines that run on them are in disrepair? https://t.co/hEV0xgiFCs"
114,"@kevinbruns @RichardBurgon Oil and natural gas, at the current consumption rate, from the current known deposits, will run out in about 50 years. Unless no new deposits are found, we are kinda screwed"
115,@JustStop_Oil Piss off! Build more prisons to lock You up! EXPLORE MORE GAS AND EXPLORE MORE OIL WHICH WE ALL NEED!!!!!⛽🛢️🛢️🛢️🛢️⛽ #LOVEOIL #lovegas #lovenewdrilling
116,@RepSmucker https://t.co/9XeXnd4Eqk
117,@JoeBiden Mr President how can we get oil from a thug dictator in Venezuela.   We were doing just fine Mr President we were the leading producer of oil .  Europe is freezing because natural gas production has strong sanctions on it. We could send natural gas all over Europe.
118,@POTUS Well gas in my area is $3.80 so stop the lies! And heating oil is over $5.00 a gallon so no the economy is trash Because of your incompetence
119,"Let's all blame Joe Biden!
https://t.co/cqEURqWCEp"
120,"@mandmgray @john196383 @SeecretSkwirrel @homie202 @Splashstorm1 @harryjsisson Nice try. You should think about basing your opinions in reality, not just what your hear on fox 
https://t.co/wT5Pf7MFvY"
121,Biden admin set to impose another rule on US oil and gas while courting Venezuelan oil https://t.co/XoiOPigwCm
122,"Internet ERUPTS After Elon Musk Says Twitter DID Interfere In Elections, Vows To Expose Documents https://t.co/pA0D4EkcLk 
Watch 2nd half of video! Section 230 must be reformed!
#MAGA #2A #gas #gasprices #oil #economy #recession #vote #USA #guns #4chan #pedopeter #PedoHitler"
123,"@modjack123 @machoprogrammer @JayPhoenix13 @RyanKin43307967 @VincenzoCorozzo Ah yes, the US alone dictates gas prices, not the organization comprised entirely of countries that produce oil who set the market value, and not because a major oil-producing country has been at war most of this year. Nope. All Biden."
124,"@James_BG Tell us where the back up is and what it is, Gas, Coal, or Oil??"
125,"@Jack_Hinson214 @elonmusk @jhall Using Oil and Gas wells? What some sort of method to create Hydrogen and Helium in the wells? My guess, haha.."
126,impeach  https://t.co/3coHpKSjfx
127,Act now to support protecting Chaco from oil and gas drilling: https://t.co/9m3XVyItka | via @pewenvironment #ProtectChaco #NMPol
128,"Germany signs 15-year oil deal with Qatar amid Ukraine War: 

“Starting in 2026, Qatar will supply Germany with liquefied natural gas for the next 15 years, as gas supplies from Russia have gone dry due to the war in Ukraine.” https://t.co/0IeqAeea4S #FoxBusiness"
129,U.S. gas prices plunge toward $3 a gallon as demand drops worldwide https://t.co/lpgQItvFuS
130,"Yo, where in Idaho can I find this $3 gas I keep reading about? https://t.co/Mjk6dfGP1m"
131,I mean… really? He’s buying out oil companies through Cascade? https://t.co/wvg8cyfQyA https://t.co/4XPbwXV8P2
132,"@kenpw97070 @BuddyDaDogg @marklevinshow Biden shut down ""all"" future oil and gas leases. If you stop adding new leases supply dries up. 

But, he's on re ord saying he will stop all drilling.

And, there is no crisis to warrant slamming us into recession/ inflation.

It's only for raw political power."
133,"@JoeBiden After loosing 100,000 plus jobs in the oil angel gas industry  thanks to you boss Obama."
134,"With the recent ground-breaking ceremony at the Kolmani River oil and gas field that straddles the Gongola Basin, the Northeast is now effectively an oil-producing region. 
@Olusegunverdict 1"
135,"U.S. gas prices plunge toward $3 a gallon as demand drops worldwide 

#ThanksBiden
https://t.co/FtIvpcPamE"
136,"Some Americans are having to choose between necessities this winter. #Inflation has caused heating oil prices to skyrocket, with @EIAgov projecting:
⛽Natural Gas up 25%
🔌Electric up 11%
🛢️Heating Oil up 45% 

Read more from @cnnbusiness.
https://t.co/PcsMebJzG9"
137,U.S. gas prices plunge toward $3 a gallon as demand drops worldwide https://t.co/kANL8IoYfk
138,"@MFJ_tweets @g__j Id struggle to use less gas, I’m stuck on oil  😂 

I’d need to re Google CoP and stuff for 2, I seem to remember it was an issue. 1 is accurate. Poorly insulated homes may not be able to get enough radiator area to offset the lower HP temps.

I’ll take data-based rebuttals tho?"
139,"@TrueNorthCentre Anyone else think he seems a little short of breath, a little panicked perhaps? I think Newfoundland could use some protective, province first policies too! That would make two oil/natural gas generators saying NO to Ottawa."
140,"@POTUS Lir  lie  lie ...rallied the world..liar. How about  America gas, oil and coal you idiot"
141,"@DanielTurnerPTF Europe has completely fallen apart. They wouldn't listen to Trump. They laughed and mocked him when he warned them about Russia. Now look, winter is settling in and Putin is cutting Nat Gas and oil shipments to Europe. Lib idiots. Let them freeze, Trump tried to warn them"
142,@m0d3rnpr0bl3ms @CodeofTrading @DizzleTheRizzle I wouldn’t.  It could chop like last December.  Upside is getting limited.  Oil and gas are going to rip next.
143,"@realJZervos @net_steven @POTUS https://t.co/pQv0K0LKsT

This oil and gas refinery sits along the river in Warren PA. It smells terrible, but is still In operation."
144,@Enochlildon oil nd gas merchant lotunlosi😅😂
145,"@POTUS No, you are not. You are the cause of high prices. Open or gas and oil production back up to 2020 levels, of energy independence now!  Your policies are not only responsible for much higher prices, You are costing People their Lives! #Levenworth for ALL @ @WhiteHouse !"
146,Calle esa jeta hedionda Sra oil&amp;gas... Amina contaminante.. https://t.co/ypWEkrWnRC
147,"@ToddCampbell94 @MercurialScott @Bravolover22 @nathaliejacoby1 u raise valid points todd, I dont know but I assume in the long run EV will be more environment friendly vs ICE not requiring gas oil and other liquids overall less parts etc I also assume less maintenance costs overall in long run, but ur points are valid"
148,The cost of gas is dropping. Here's why -- and how long the lower prices might last. - The Washington Post https://t.co/YaqhwFzSNr
149,"@GavinNewsom Let’s compare income statements from the state of California gas to tax and any oil company’s CA profit and loss, shall we?"
150,"@POTUS PrEsIdEnTs DoN't CoNtRoL gAs PrIcEs
GrEeDy, PrIcE GoUgInG oIl CoMpAnIeS
pUtIn'S pRiCe HiKe"
151,"(1/3) Canada and the world are in an energy crisis. Energy developers want and need stable and predictable policies. 

Vermilion Energy points out that the Liberals' planned ""windfall tax""...
https://t.co/w5NHK2kJ1O"
152,"@GOPLeader @SteveScalise @HouseGOP @RepStefanik @RepTomEmmer @RepBice @RepMikeJohnson @USRepGaryPalmer What GOP commitment to America while your funding Ukraine's government while millions of Americans can't afford food, gas, and oil. Wouldn't give thug Zelonr penny, he is no better then Putin. USA $31 trillion in debt and Chiba is ready to destroy our economy and infrastructure"
153,@POTUS You're not producing our domestic oil and gas... Joe... You're not talking about building the Keystone Pipeline... Joe... All because You hate the plan set up by Former President Trump... Joe... That's right... He was President BEFORE YOU JOE...
154,"@suzel10535209 @IngrahamAngle Where were u when Biden sacked 40,000 jobs in the oil, gas, and coal industries? Take a seat. 😡"
155,"Great for the economy. Bad for Russia. 

Pay attention to how Republicans react. That will tell you whose side they're on. 

https://t.co/hI19udQWrY"
156,The present energy crisis is self-inflicted due to Joe Biden’s war on the American oil &amp; gas industry. #Biden
157,"@kevinbruns @RichardBurgon We can always start building nuclear powerplants. And the more we build them, the cheaper and easier it will be to build and maintain them in the future. Especially since oil and gas will run out within around 50 years, nuclear is a very  good long term investment."
158,@catturd2 I don't see you posting anything about this! BREAKING: https://t.co/nOeArXV3A0
159,"@mgunner @Dejoyjr4483 @BonginoReport What planet are you living on? You forgot about the 11 million that have crossed the border since the clown and his circus has been in charge. And the layoffs that have started. Yep, the price of gas, diesel, heating oil, groceries have just hit an all time low. How's your 401 K?"
160,"LETS FUCKING GO...

you know who

the thing is, if youre dumb enough to blame him when prices are high you gotta credit him when they come back down. https://t.co/jnV6Vi2tQP"
161,"@Miragegrl1 @JimCarrey Thats a great point that isn't talked about enough.  These Hollywood celebrities could care less about the price of food, gas and oil.  Their belly is always full and their home is always warm."
162,"@MT26374685 @ewo_media @Neilson476 @KenfaeFife The wells in  the “ disputed” area of the North Sea produce a very 
a small percentage of the UK oil/ gas  revenue. It’s nearly all counted as Scottish revenue in GERS."
163,"@SenBillCassidy @SenateGOP if the French are smart enough to restart coal powered electrical plants to solve their energy problem, why is the Biden administration not waking up here at home to get back to gas/oil, LNG, and coal? So much for the Paris Climate Accord, eh? 🤔"
