,2022-11-27
28,"COP OUT 27 ... MIGHT AS WELL BE A BIG OIL &amp; GAS ORGY.... THE ENTIRE FIASCO IS A JOKE AS ARE THE SOCK PUPPET POLITICIANS, WHO SAY THE PRETTY WORDS... AND THEN DO ABSOLUTELY NOTHING BUT STONEWALL, FOOT DRAG, AND DO THE OIL DICTATORSHIPS' BIDDING... https://t.co/DA0ue6QxbS"
29,@POTUS Yea since you and your crime family are in ccp’s back pocket with that hideous creature pelosi they own the cobalt mines you subsidize their vehicles nearly tax free and your son trying to sell American land to China so they can use our natural gas and oil resources fuck you!!
30,@JoshShapiroPA Maybe you could look at the price of gas in the area where banana splits were invented. We are paying $3.99 a gal. when oil is at $76.19 a barrel. Should be around $3.19 at the most.
31,"Because we have a few refineries down and haven't built any new refineries in over 40 years. It's not oil, it's the distillate (gas) from the refineries that we need. We need to update them and build new ones. We also export gas to other countries and import it. https://t.co/nJVoTvXqN6"
32,"@GavinNewsom @SunshineRay59 @GOP Dont forget......
Get rid of social security
Do away with Medicare
Refuse to hold corporations accountable like oil and gas, groceries, Big Pharma"
33,"@GavinNewsom @GOP The Democrats view of ""America"":
Lockdowns
$6.00 Gas
Foreign oil dependence 
Crime via open borders 
Tax The People and give freebies to illegals
Never tell the truth"
34,"Ghana plans to buy oil with #Gold instead of US dollars #finance #economics #Dollar #silver #NEWS 
https://t.co/14mYPPHyrQ."
35,"@MistressRedWasp @fwe1991 @InaneDragon @shellyt561 @RGanley @RAGINxCAJUN @WebGuyTV @Krensharpaw @warmachineofdio @Pepevineyard @sammk1964 @DarkPouncer @8BrianVogel4 @SKillr666 @dirk_fasshauer @Shopdogg2 @CarignanAbreu @RonFancy @rosegar17673310 @Sasquatch4eva @warmachineofgod @VinceGottalotta @OriginalGoalie @JulieMu36442360 @tRick_the_only @Bernvazquez1 @LokeyMJB @MrLarsonsFoot @JamesCa70626795 @MikeBetts43 @ThereseOSulliv2 @baronofbarons @hrt6017 @ziggystardogs @2_drac @TaiDecker @mgarcia523 @Aimhighffw @jkoff609 @tallnblonde1 @itisjustmebabe @DigiMalice @Merry_Hippie @dogsdontliket @ChubbsNShooter @TrumpLOST5 @Deborah9731827 @Vanessa76_1 @MJB24681 @HuntersArtWork Yeah, so utilities &amp; related industries are looking at 2060 at least, not 2030 for continent wide load capacity to safely &amp; efficiently recharge that many EVs without rolling blackouts &amp; power rationing. That’s 4 decades of need for the abundant oil &amp; gas that we fortunate have."
36,@max_gagliardi I wonder if Blackrock is changing their tune on fossil fuels now that they helped trick all of our stupid politicians to buy into the green new scam and oil and gas roofed?  They said in Davos 2020 they were done investing in ff 😂
37,"‘I Will Block Leakages, Liberate Oil And Gas Sector’ –Atiku Vows https://t.co/DFdQiZH5QT"
38,"@robreiner At some point, you might come out of your Hollywood bubble and understand in the real world,Trump is old news,unless, of course, he becomes POTUS again, and people are interested in Bideninflation, price of gas/heating oil, crime, border, fentanyl, and Hunter/Big Guy corruption."
39,"@TheMarco @BlackKnight10k He is raiding the strategic national reserves, weakening the country.
Not a real, long term, solution of producing more oil and gas, that would strengthen the country."
40,"@realTuckFrumper Are there no 'reasonable' GA GOP candidates? 

Sabotage Marji's fix for gas was to side w/Putin's Genocide. Luckily Biden stuck w/Ukraine. Now there's an #Oil_Price_Cap in the works.

Walker shows Reps. Hypocrisy ""...vehemently..."" ""...sometimes..."" NO on abortion. #concussed"
41,@POTUS I also have been tweeting everyth9ong you did to undermine th e oil aND GAS INDUSTRY YOU AND i AND NOW EVERYONE ON TWITTER KNOWS IT WASNT JUST KEYSTONE WAS IT.
42,"Scaffolding Supervisor.
 diploma in Mechanical with a Minimum of 02 Years Experience in Scaffolding Works for Power Plant/refinery / Petrochemical / Oil &amp; Gas Projects. cisrs Qualified as a Scaffolding Supervisor with Levels of knowledge and Experience  https://t.co/3xmyjzW4LJ"
43,"@JohnStossel To the old folks, do you remember when (60s-70s) Nuclear Energy was less expensive than Oil, Coal and Gas?
Well, now we have Solar and Wind as the contenders against the 3+1 bad energy providers. Oil, Coal, Gas and Nuclear. 
What goes around comes oround."
44,"Gate Valve, DN20 Stainless Steel Gate Valve BSPP G3/4 Rotary Sluice Valve for Water Oil Gas, Silver LFSWMQO

https://t.co/O4EteimvUH https://t.co/WOanRGJekh"
45,"@matthew_fordham @TimConway12 @Justbob111 @Rob_Kimbell ""Are you disputing Brexit being a neg economically?""

Yes but if you supply dispassionate stats &amp; info proving that QE, furlough, shutdowns, Ukraine war &amp; subsequent shortages of gas, phosphates, neon, sunflower oil &amp; microchips are due to Brexit then I'm open to persuasion."
46,@kilijanek @visegrad24 Is this a cope? Russia has such vast reserves of gas and oil it can sell them close to margin and still make billions. Uniforms/Infantry equipment? You mock Russia while they rain down missies on Ukraine day after day. Ukraine has no power will America be sending candles soon? 🕯️
47,Oil and gas sector provides so many benefits to Saskatchewan https://t.co/qC9Poofm3w
48,https://t.co/HQZobLtttC  I bet a lot of minorities working in the oil industry would disagree that the oil industry is racist since they are working for them and have good paying jobs and these high gas prices hurt the poor the most and Joe Biden caused this because he blocks
49,@JessicaBanner13 @POTUS Meanwhile oil and gas and coal are destroying the whole planet.
50,"@WR4NYGov @thunderf00t Warren, don't attack his competence, capability, or caracter.
Go after his lies, like the thermal expansion being an issue when we already have cross country pipes that move preasurized oil and gas. Or his claim patents are being stolen, durring competition. They get MIT licenses"
51,"China, India squeeze big oil discounts out of Russia, hitting Putin's war chest - Economic Times

https://t.co/pEIS5FNQya

#NewsIndia https://t.co/gv9u5unHuN"
52,https://t.co/fRSDxeeoAA
53,does anyone know of a program for reduced costs (or grant funds) to replace oil burners? here in New England most of us use fuel oil to heat our homes. it's expensive but switching to electric or natural gas is financially out of the question for most people.
54,@SenateGOP Do you mean American oil and gas companies?
55,@psbono21 @nypost there is a big difference. Biden shut down an investigation with U.S. support dollars and had a prosecutor fired. Hunter had 0 ZERO experience in the oil and gas industry yet got paid millions to do what? Kushner firm had a 2 billion dollar investment from the Saudis. Nice try!!
56,"@nathaliejacoby1 I don’t listen to Kanye and I try to avoid getting gas at Chevron, since they bought Texaco, which spilled millions of tons of oil in Ecuador and caused women to have vie h defects and animals in the Amazon rainforest to drown in oil."
57,@RachelReevesMP Did you miss the part where Scotland said they want to be independent?  The Gas/oil will go with them too
58,"@woe_tree @visegrad24 What will Russia do with those resources? Will they beg China to buy them for scraps? China is not stupid and will take advantage. Even today RU is selling with very slim margin, on verge of profitability. And they sell gas, oil in exchange for uniforms and infantry equipment 🤣"
59,"@KamalaHarris Climate crisis is the biggest lie in the world sweetie. The whole world already knows that. Oil and gas are renewable resources, and all the people who deal with them know that. Pack your climate crisis in your suitcase and leave!"
60,https://t.co/bGt92JljPI
61,Top markets with support level gaps … Coffee -4.8%  Natural Gas -4.8%  Heating Oil -9.5% https://t.co/zahuZvWz3u https://t.co/GMxVclpIJj
62,"@S0rceresscsgo @Noahpinion for sure,imagination;)oil/gas rised like x6 but cost of living didnt rise;) typical burger economist"
63,"@gchahal Don't be kidding yourself. Have you noticed how the oil and gas prices dropped? No big issues expected here, sorry."
64,"@Jitenitis @tina661014 They are threatening European and other countries that use Russian gas, whilst selling US gas to them at really high rates during an energy crisis. Like Ford and the US supplied truck engines and oil to the Nazis in WW2… they just have to profit regardless of morality."
65,"China builds turbines &amp; solar panels for the world - but doesn't use them. China's amazing economic miracle is from coal-oil-gas-hydro, some nuclear. Renewables play almost no part. China-India are exempt from the UN's carbon emissions fiasco. Western nations bow &amp; take the knee. https://t.co/gRNfMb5ZnS"
66,Neil  you are right . The Americans is doing a deal with the Government of Venezuela   somebody oil  sanctions will be lifted and  will be able to pumping   Oil and  natural gas . What is the British Government waiting for  . . Why don’t the don’t they do a deal With Iran  .
67,@AlexEpstein @1MarkMoss We are still oil and gas independent. You should state that first and then try and say your point. But your point only works if you don’t state that we are gas and oil independent. Man your sponsors just throwing stupid money must be. 🤷‍♂️🤦‍♂️
68,"@POTUS You are destroying capitalism, don't you think that picking winners and losers, with your executive orders against gas an oil over green energy is choosing. EV's over gasoline cars, banks w/esg over banks w/o, the market isn't dictating you are. FJB."
69,not only do oil companies suck i get my card stolen from their gas pumps literally all the time
70,@NikkiHaley Our county is on track to produce more oil and gas in 2022 than at any other time in our country’s history and Big Oil will report all-time record profits.  Stop letting politicians gaslight you folks.
71,"@Z4RQUON @StdenisKatie @PierrePoilievre Well, with Trudeau and the Liberals remaining in power, the climate plan will never be successful. Of course, I want the climate to be saved, but the cutting cold turkey with fossil fuels is making it worse. We should be moving to less polluting fossil fuels first,like oil &amp; gas,"
72,Strategy 'urgently needed' to address cybersecurity risks to oil and gas infrastructure: report https://t.co/HU3gWZIfLL via @JustTheNews
73,"@JasonON @Big_Worker @mattyglesias @BorisJohnson it could very well be the death knell for the uk as a whole as scottish independence - already a serious threat - is now back on the cards again, and they would take with them their oil and gas reserves in the north sea, and irish unification could happen too. truly astonishing."
74,@dayvonhiggins @BlackKnight10k Lol if ur complimentary bring our president please excise and I’m sorry but if you been watching too much fox sll say all fukinh day long gas we are exporting more oil man like whatever they say is OPPOSITE I don’t understand all I know think it’s uhh I lol fuk blow my brains out
75,"So England needs Scotland for: Hydro,Gas,Oil,Wind &amp; Wave Power, Water,Munitions dumping, Radio-active Waste dumping, War games,parking its rusting nuclear hulks,income tax,Talent.
Scotland needs England for what?
#YesScots
#ScottishIndependence 
#FreeIn23
https://t.co/NGIibgWygk https://t.co/ESCMkaol56"
76,"Still expecting crude oil to drop more. #WTI may touch 70 USD/barrel. That would be about the time Biden replenishes the #SPR $SPR. Chinese lockdowns distorting the energy market; gas prices, oil lower. Deflationary on the energy front, could cause inflation elsewhere. $qqq $spy"
77,"@dawoudalmajid @blackintheempir Negotiate what?! Should Ukraine have handed over Crimea and the Donbas with all their oil and gas fields, strategic ports and prime agricultural land in exchange for Russia not invading?!"
78,"Georgia voters?
Do you see that gas prices are going down?

It is due to Democrats' efforts. 
SEN. REV. WARNOCK is part of those efforts.

Herschel Walkers political party, Republicans, refused to work with Democrats b/c they get paid by oil copanies."
79,@ColoradoOilGas What’s more important to humanity…not oil/gas https://t.co/BAafO50wSj
80,"Columbia Oil and Gas Wells Fargo account and the new place
Check out Aaron's video! #TikTok https://t.co/1GTOWnvJlb"
81,"“If we have a call for nationwide protests against oil and gas exploration… it would be very, very significant in trying to stop the government from continuing with this oil and gas exploration.” - Christian Adams https://t.co/SyOK5FKWSN"
82,"So it seems like  a lot of people dont understand why Norway is considered to be the reliable choice when it comes to providing oil/gas to the EU, and why I think its important to not benefit from a war. just because its not 🇳🇴 that was invaded by a neighbor like Russia. 🇳🇴❤️🇺🇦 https://t.co/rV2AeKkRSJ"
83,@PhoenixAir5 @SamEnnes @AskMeLaterOn The elites hahaha I am far from elite and I want to preserve all energy oil and gas included so we all survive the next ice age!  They're all nothing but dopes!
84,@davidfrum #BidenWorstPresidentEver Destroyed the Worlds Equilibrium of oil + Natural gas &amp; has pushed the World into a recession + Transitory Inflation - ha 🤡 Complete Fools ! @Bundeskanzler @elonmusk @robreiner @TomCottonAR @Jim_Jordan @GOPLeader @SecYellen @LHSummers @BajpaiKanti @WSJ
85,"@HouseGOP By ""unleashing"", the GOP means eliminating environmental controls. BTW, oil production and natural gas production are up, way up, from May 2020 when the GOP held the White House."
86,"@Hedzer15 @LinxMark @RebelHeart529 @stephen_taylor Sure it is. It’s where the government favors certain industries which serve a purpose. I’d look at the Ford government relationship with developers, or the Alberta governments relationship with oil and gas. Both serve a political purpose (good or bad)."
87,"@Bammerr321 @Scott19490 @isaiahrmartin That is the dumbest response, we don’t get milk and eggs from China, our oil and gas is not from China our vehicles are not imported from China, your woke minded ignorance is astounding."
88,"@DMD8687 @NachoKitty00 @akafacehots @realDonaldTrump Biden is most certainly responsible for the rise in global energy costs. The USA could be entirely energy independent, AND be supply all of Europe with its oil and natural gas, but nope, Biden would rather hand that honor over to our enemies and watch the price skyrocket."
89,Biden Admin limits drilling for oil and gas in U.S. but just lifted sanctions so we can get oil from Venezuela?? What? ?
90,"Kawasaki Mule 4000/4010 (2015-2019) NEW Oil Gauge/Dipstick (Gas Engines) Replaces: 52005-0747 HRBH87E

https://t.co/2PINWYf5rB https://t.co/9rDrBn4zmp"
91,Top of old Gulf Oil Gas Pump https://t.co/0wEPXgTdMy
92,@MichaelCalifra I could have written so much more. I ran out of characters.  The Koch family alone…it’s not like the industry is  beleaguered. Oil and gas is one of the largest industries in the world.
93,"The financial market doesn't have to make assumptions about the interest rate policies of the ""developed"" world because the war in Ukraine is taking them to the hole because of gas and oil.  You guys are being selfish, yes!"
94,@TomFitton A moron making a moronic statement.  Oil and gas are here to stay.
95,"Columbia Oil and Gas Wells Fargo account and the new place
Check out Aaron's video! #TikTok https://t.co/1GTOWnMMnb"
96,"20FT 6AN 3/8"" Nylon Stainless Steel Braided CPE Oil Gas Fuel Line Universal SMNLRZQ

https://t.co/IuoNAw835F https://t.co/2adSlGMoCN"
97,"Biden eases Venezuela sanctions to aid talks between Maduro, opposition - KATU https://t.co/oJgkMUwuC7 https://t.co/hVvsyRxzJe"
98,"@iggipop01 @SenatorWicker @SenateGOP @POTUS What subsidies did Biden roll back?
https://t.co/40FTYqSTMr"
99,@gridnews Alternate energy sources: oil/gas. Also spurring the US to become a Energy Exporter. These negative results from Putin's failures place increased economic/financial pressures on Russian economy coupled with brutal crippling sanctions.
100,"And what am I supposed to be grateful for. 4.00 a gal gas, 500.00 for 100 gals of Oil to heat my house. Tax my ss, cost up on everything.  Stop me when you think I said enough.       White House Claims Americans Should ‘Be Thankful’ For Biden’s Long List Of Accomplishments"
101,"Biden’s Closing Argument for the Midterms: Vows to End Oil Drilling | Sh... https://t.co/QaDL9zDBlI via @YouTube #BidenAdministration Americans Want Drilling For Energy Independence ! We Need #FossilFuels Oil, Gas, Coal,  Build A New Nuclear Plant !  #BidenIsAFailure #JoeMustGo"
102,"@2014davidharris @ONO_CONO @GOP Republicans are the reason we had cheap gas, probably true, because republicans fight emissions standards, green energy, climate change, and every thing that hurts oil producers grotesque profits. So, it's kinda like bragging about how you didn't get hurt cause you fell on a baby"
103,"@Marcie2316 @KenRedden2 It's Canada's Texas, oil and gas country. Mountains and prairies. And it's absolutely magnificent. 

https://t.co/T2rYYuu61N https://t.co/cHWWOeNmyP"
104,"@POTUS When I see the aristocracy of activists, all federal agencies, politicians, journalist, entertainers and the UN “transition“ from their use of gas, oil and electrical power plants, I will attempt to imitate their example, otherwise I will ignore their hypocritical ideology."
105,"@lucaberta @NEWSMAX @AlexEpstein @Tom_Basile Nuclear was slowed for good reason and has seen immense progression forward in recent years. Thanks to people like @JigarShahDC and his work with the DOE. I have a good guess where we land on energy distribution percentage oil, gas, solar, wind and nuclear."
106,"Instead of approving new gas and oil leases here, the Biden administration wants to do business with the brutal regime in Venezuela. Is there a limit to the lunacy of our current regime? https://t.co/V1famjWggw"
107,@DecodingFoxNews The plight of the oil and gas industries is that they are earning record profits.
108,"Funny, Dems like ⁦@MaineGovernor Mills⁩ d/n mind Biden shutting down oil/gas bc of “climate chg”,but oh no, diff story when environmentalists impact them!

Whole Foods under fire after Maine lobster will be pulled from shelves at stores nationwide

https://t.co/GSG9wA8tA2"
109,@geostylegeo Yes but there’s a problem.. most electric vehicles are not affordable.. make them so cheap ..the American public can’t refuse and yes.  We should all make that transition and not give one more dime to big oil and gas.
110,"@LadyJules_Cath @David__Osland It is I’m afraid. That’s partly because of a small population, but also because they invested their new found oil and gas wealth so wisely - very much considering these resources to be for the benefit of all."
111,@TonyReed_ @ABCPolitics No he didn’t. You can grant all the drilling rights you want. Trump did that. However the oil companies are not going to pump more crude to lower their pricing. COVID stopped the sale of gas no one using it so lower prices. Get the facts.
112,"Rachel Campos-Duffy laments the plight of the oil and gas industry and uses the term ""Big Green"" to describe the teaching of climate change.  The global oil and gas industry is valued at over $5 trillion dollars.  Green energy is at about $881.7 billion. https://t.co/m2EnD13N5l"
113,@lucaberta @NEWSMAX @AlexEpstein @Tom_Basile The oil&amp;gas built renewables for a reason. The political game is just the marketing to distract the populous. I’m not regulated by either industry as I own my own company that contracts with both sectors. Alex is different as he’s regulated to the marketing narrative of oil&amp;gas
114,"@MrFhqwhgads @ShoeShineBoy11 @kim_siever @AndrewScheer Non-sequitur. Not sure who you’re quoting but it’s not me. Pipeline capacity is a limiting factor on oil and gas development in western Canada. Doesn’t mean that growth has altogether stopped, only that potential for growth will have limits."
115,"@SenatorHagerty Instead of being honest, the GOP has done everything in its power to lie, cheat &amp; steal for the oil industry. As a result of their poor decisions, Americans are paying 45% more for heating oil &amp; 25% more for natural gas. https://t.co/zn6WLFRVv1"
116,@Barb2216123 @FranceneCorbeil @JDCocchiarella Hey inflation is “ALL” over the world not just USA. President Biden had to work with the oil rich countries to try to stabilize the gas problem in the US.
117,"@POTUS Meanwhile Genius Joe cripples the oil and gas industry losing 200,000 jobs

I cannot make stuff up"
118,"@RA10_MR @AlfonsoDaman As for contribution, the British and Americans discovered oil and gas in the gulf and created the technology and skills to extract it. Has Qatar contributed anything to its own wealth let alone the UK's? Qataris are good consumers - that's their main contribution 🤷‍♂️"
119,@RabbleChorus @xriow None of which are carbon.  They are compounds.  Ammonia contains no carbon atoms at all.  Oil and gas are extracted not made.
120,"@tjay_256 @channelstv When the lecturer gives some students more attention, lecture hours and study materials,  it is expected that they will do better than others. 

Anambra has one of the largest gas deposits, Enugu has coal, IMO Abia have oil.
But can't explore because of the system of government."
121,"Oil and gas workers, losing their jobs as #FossilFuel investment wanes, find work in the #WindEnergy business. https://t.co/BTcdLSicjl #EnergyTransition"
122,"@UD_Chuks_Online @kins7615 @PeterObi Angola currently has just one operational refinery, the Luanda Refinery, operated by energy company, Fina Petroleos de Angola, and national oil company, Sonangol, processing up to 65,000 barrels of crude oil per day (bpd).20 Apr 2022
https://t.co/PgAA8VbO0Q."
123,you're stupid you're falling into a battery trap when we have clean oil and gas direct energy..Check out El Podcast Media's video! #TikTok https://t.co/L7hijeM3RP
124,@mrkennedy420_ @ijustwantthetr3 @genzforchange From books with 17.5 genders and child grooming to oil and gas? Nice deflection. Shame it’s not the topic.
125,"We want to buy

Phenol 
#carbolic #acid 
99.5%

#cas 108-95-2

cfr karachi Pakistan
in #drums 

#phenol #carbolic #butylacrylate #vinylavetate #ethylene #benzene #propylene #glycol #glycols #acids #fahim #venus #venuscorporation #sodium #potassium #copper #iron #naptha #oil #gas"
126,"#DarkMoney Friends #TaxTheRich 
Bernard Marcus (Home Depot)
Dennis Washington (copper mine)
Charles B. Johnson (investment firm)
Nelson Peltz (hedge fund)
Trevor Jones (oil &amp; gas)
Steve Wynn (casinos)"
127,"How Blackrock Investment Fund Triggered the Global Energy Crisis

""Adherence to UN 2030 Sustainability Agenda"". Colossal disinvestment in the trillion-dollar global oil and gas sector.

By F. William Engdahl
16 Nov 2022 

https://t.co/XzFv7IDrP3"
128,@WeAreCanProud Nope. The oil and gas industry is basically corporate welfare now. $12 billion (this year) to keep building a pipeline. $4 billion (last year) to clean up orphaned oil wells. Oil cartels in Saudi Arabia reduce output to keep oil prices high. No thank you. https://t.co/lDGclmhvrM
129,@RealStephenKerr You mean your masters will hate losing the trillions in oil/gas benefits of raping Scotland of her assets
130,"@ewarren Everyone that heats their home this winter with natural gas and heating oil will be hit hard , this is what joe Biden has done"
131,"@TomFitton But you still need oil and natural gas to produce the electricity for these electric vehicles, stupid!!"
132,"Instead of unleashing American energy, the Biden Admin has done everything in its power to push far-left &amp; radical green energy policies such as the Green New Deal. As a result of their poor decisions, Americans are paying 45% more for heating oil &amp; 25% more for natural gas."
133,"@ManchesterHunk @RishiSunak It’s a false argument. By invading ukraine, Russia would be surrounded by Nato countries. It’s like suggesting someone move to the north pole to escape the snow. Putin wants the oil and gas of eastern Ukraine, plus he’s nuts"
134,"STORY:
Oil and gas is shipped out of Nigeria and environment is polluted. The oil companies that are junior partners are making money but the FG which is the senior partner is not making money.

MORAL OF THE STORY:
The more you look, the less you see.

AUTHOR:
Unago C. Shege https://t.co/g7j3jY1OeM"
135,"An enlightening article if only to show how ignorant/naive Luxon/National are over the Climate Change crisis.They have no scientifically based plan &amp; will continue to support gas &amp; oil exploration, waffling ocean carbon capture offsets &amp; a pledge to meet the 2050 target!Get real!"
136,"@Rob_Kimbell So England needs Scotland for: Hydro,Gas,Oil,Wind &amp; Wave Power, Water,Munitions dumping, Radio-active Waste dumping, War games,parking its rusting nuclear hulks,income tax,Talent.
Scotland needs England for what?
#YesScots
#ScottishIndependence 
#FreeIn23"
137,"#Putin and post-Putin leadership have realised that their archaic conventional army needs a total refit, which will mean more oil and gas to sell in face of sanctions and Russia has lost it's lucrative west European 180bcm market #Nordstream I see a bleak future for energy.3/4 https://t.co/wUtHKLBuwd"
138,Brent crude is falling despite of 2mb/day cuts by #OPEC+ Oil/gas will decline far more. China's zero covid is not yet factored. The #OECD #price_cap on #Russian_oil_imports until peace ushers and sanctions are lifted will force Russia 🇷🇺 to sell more oil and Gas at a bargain. 1/4 https://t.co/tlb9F8kU2j
139,"Daily Post Nigeria - Fuel scarcity: Atiku vows to block leakages, liberalize oil and gas sector https://t.co/sKPTSO7mk3 https://t.co/noINrPdfhD"
140,"@POTUS Do you realize what makes the  generators run that produces our electricity? Oil, natural gas and coal.  But you knew that, right.."
141,"America produces 17% of world oil supply. We use 20% of world oil supply. To become energy independent requires more green energy, more non oil energy sources like hydro &amp; nuclear, solar &amp; wind &amp; natural gas power. More electric vehicles in use &amp; fewer gas powered vehicles."
142,"@QTRResearch There will be numerous layoffs, but inflation will contracts to 2% which is good, GDP growth will be sound above sluggish 2.5%.. Stock markets will be bearish, crypto currencies also, bullish US bonds, strong USD compare to others Majors, Commodities lower prices like oil and gas"
143,"@anasalhajji True. Plus LNG, gas and coal have rallied a lot more than oil has."
144,"@BillyPumpaloaf @dbongino @1 Do you use gas, oil diesel or buy groceries? Also a great interest rate is the sign of a great economy"
145,"@SnYpRemix @spanishkitten76 @dmk_1962 @gorskon @DiedSuddenly_ @elonmusk @DineshDSouza I know from different outlets. You do realize that information is pretty easy to get these days? OPEC is setting the proces of crude oil, and then there's the blatant price gouging that all fossil fuel companies do as we speak. And when gas is expensive, so is everything else."
146,@RachelNotley Your way Rachel is sucking up to Justin Trudeau who hates Alberta and wants to stop all oil &amp; gas from being produced. You and he stifles export of oil &amp; gas from Alberta. Without natural gas thousands of Albertans would freeze but you just don’t care.
147,"@POTUS Didn't you call Trump a tyrant when he set out to re-build our roads/bridges...? Same thing for the pipes... 

Cleaning up pollution? By banning oil/gas companies form leasing new lands? Thanks for the high gas prices.. 

Affordable high-speed internet? Elon Musk beat you to it.."
148,30 Tunisian institutions to take part in Libya Oil and Gas Exhibition https://t.co/l42VrYUgcU
149,@JSCWellness @EelNahtan1209 @DashDobrofsky They would let our companies supply more oil and gas to us. They would actually close the southern border and the flood of people coming to take advantage of our welfare system. The would lower taxes instead of increasing it. They would stop the spending free for all spending.
