,2022-11-28
80,The Interior Department has proposed rules to limit methane leaks from oil and gas drilling on public lands. https://t.co/KdkM7yhetB
81,"@WhiteHouse I don't know, I'm still paying more for gas than I did when  Trump was in office, and he wasn't going around the world begging middle eastern countries to sell us more oil to look better for midterms. China and India are the worlds biggest polluters."
82,"@HouseGOP The Republicans literally voted against price gouging at the gas pumps… And we know that the oil companies are not even drilling on all the land already allotted to them.

We are paying attention."
83,@ProudElephantUS Don't care about impeachment at this point. Want border secured. Oil and gas being produced. National open carry. Death penalty reinstated. Repeal of passed bills in the last two years. Ukraine monies and weapons support STOPPED. Then impeachment can be considered.
84,@ParikPatelCFA Coz Qatar has Gas not Oil 😂
85,"@GBNEWS You have to be retarded to swallow this shit. Coal, oil and gas are in abundance for centuries in our own territory. The technology to replace them does not exist . We have more than enough time to find solutions without creating misery on the back of this stupid bullshit"
86,@mx19smom @HouseGOP The same regulations were there under the Trump administration. It’s hard to argue regulations are halting production when we’ve seen a consistent rise in US energy production. Only 6% of oil executives say regulators are hampering production. https://t.co/6VYlk7Q1mA
87,"@FuturamaKing @bbydrvr @elonmusk @paulg @kimbal True, but not near as safe, cheap, or reliable as wind, geothermal, or solar which is what it is really competing with.  Oil and gas are already on their way out regardless of nuclear."
88,"@EA2MPT @GavinNewsom Here in LA, 0.02% of our electricity is produced from oil, so it would take about one teaspoon of oil to fully charge an EV battery because most of our electricity comes from other sources. Our leading sources of electric generation are natural gas, hydro, and solar."
89,"@TrickyD06240545 @KyivIndependent Except they no longer buy 🇷🇺 gas and coal and oil imports, like everything else, got significantly reduced. Also don't forget that they already provided air defense consisting of MANPADS (Stinger &amp; Strela), 1 of 4 medium range batteries (IRIS-T SLM) and 30 SPAAG (Gepard)."
90,"Biden like Trudeau attacks North American oil and gas while supporting and buying foreign conflict oil? They destroy energy security and independence, while it's own citizens go hungry,cold and broke? Putin gets rich? Release the Biden documents,investigate corrupt Trudeau! https://t.co/VikptdzzlA"
91,"@Knesix OT for Jesus: Biden is working very hard to ruin the US, isn’t he? Telling Chevron they can produce PDVSA’s oil and gas for them and only pay pennies? I’m losing my brain Haven’t they been there before?"
92,"@POTUS Aside from the fact that none of the projects have permission to procede, it sounds better than it is.  What about energy prices?  Heating oil, natural gas, electricity, diesel fuel, all higher.  Now Venezuelan oil???  Good.  Send jobs to Venezuela..."
93,@JDCocchiarella Sound a bit Socialist to me! Tax the Big Oil and the price of Gas gets higher. The people just pay more for the stuff they buy. The Democrats get rich off the backs of the poor. Democrats run the plantation. Republicans are the ones who freed the Slaves.
94,"@jeremycorbyn In the late 50s , my grandma still had oil lamps, and my mates house, had no leccy, only gas lighting."
95,@Nottodaymydear1 @GMB @officialbarnesy In that case the UK along with Western nations should also boycott Qatari oil and gas (and others) shouldn't they? Instead the UK government has welcomed their investments and they are helping with energy infrastructure ultimately strengthening our energy security.
96,US oil prices hit lowest level in nearly a year. Gas is down 6% in a month https://t.co/rkdt7yB6xp
97,"And the idiots wants to shut down our fossil fuel, oil , and gas, during a massive storm ! https://t.co/P2Zg3eFu1W"
98,@SPKolten @bbydrvr @elonmusk @paulg @kimbal It’s safer then oil and gas
99,"The Indonesian government has set a production target of 12 billion cubic feet per day of gas by 2030 in an effort to improve energy security and lower its oil import bill as it pivots away from coal.

https://t.co/7IT7Yfn7Pf

$CRD.ax #oilgas #energy"
100,@PeterDClack Yea indeed. Shouldn’t have banned oil and gas exploration. That was a good export earner and an essential source of industrial energy.
101,"The very same people that want Ukraine to be at WAR with Putin, are pissed that Putin is treating it as a war and NOT sending the enemy oil and gas for the winter. 🤦"
102,@The_Alien @DLMEsquire That's not true. The majority of our oil (and nat gas) reserves are on state &amp; privately owned land
103,‘My pay is going into this destruction’: Ontario teachers decry new pension board member with oil and gas ties | Canada's National Observer: News &amp; Analysis https://t.co/ahvQQfZe3f
104,"U.S. oil prices have fallen to their lowest level since December 2021 on concerns that protests in China against Covid-19 lockdowns will dent demand. Global oil prices have fallen about 35% since June. The U.S. average cost of a gallon of gas is now $3.55, down 5.7% from October"
105,".@Oxfam asked three U.S.-based multinational oil and gas companies to voluntarily bolster their #tax transparency, filing shareholder resolutions that urge country-by-country disclosures of tax payments, revenue, and profits.

Read @akathanasiou's latest: https://t.co/3eWb6LwToG https://t.co/As1r5hOLFM"
106,"@KWachtershauser @Astiburg Sadly bowing down to the gas &amp; oil producers has it's consequences. As for green😬
https://t.co/UedfgmROll"
107,"@RepAndyBiggsAZ New Data: Biden's First Year Drilling Permitting Stomps Trump's By 34% - Center for Biological Diversity. WASHINGTON— New federal data shows the Biden administration approved 3,557 permits for oil and gas drilling on public lands in its first year."
108,"@McFaul Pragmatic business elites making money by gas, oil and coil prices. Thanks to Western pragmatic business elites making money by weaponry production. Everybody are pragmatic , bloodbath will continue"
109,"Failing to pass a bill this year would be a disappointment to Manchin and his allies in the oil, gas and coal sectors, who have pushed for years to loosen federal permitting requirements. 

https://t.co/hEn0ZPlN69"
110,"@KovacsTesztelo @no237s5 @RobinBrooksIIF Europe was still buying overpriced RU gas 6 months after the invasion started, not anymore. Russia also benefited from a spike in the price of crude oil which is now over, as price per barrel is below Feb24 levels. 
Also, ""Russia forecasts"" is very different from ""Russia made"". https://t.co/Tfvf3bZfbL"
111,"@CTSenateGOP @21KevinKelly @RepCandelora @cthouserules All I hear from Hartford is a giant sucking sound from Democrats &amp; Republicans. There hasn't been any relief since the income tax passed, just off the top of my head: bag tax, internet sales tax, oil refinery tax, gas tax, toll tax, new taxes tacked onto my car reg renew"
112,"The Biden administration will hold an oil and gas lease sale in Cook Inlet by the end of the year. An industry group said it could lead to oil and natural gas the world still needs, while a conservation group said it will threaten wildlife and the climate. https://t.co/L57lgUxLUA"
113,"@JeffBrett10 @marceelias Lmfao this has to be the most pathetic list of accomplishments I've ever seen. 

You are basically relieved that everything isn't a complete and total dumpster fire.

Gas prices are only lower because Biden has recklessly drained our Oil reserves."
114,@AngelaKJones @GavinNewsom I guess you don’t understand how oil and gas companies work.
115,"Good thing you gave up all those Oil and Gas products, @GeraldKutney.

Oh, wait... https://t.co/ls9XxwhNGR"
116,"@KyivIndependent Germany would like to go back to how it was. They buy cheap gas, oil and coal from Russia and Russia buys German cars and other goods. Don't trust Germany."
117,"@jim_jack19755 @OneCitizenCan @GavinNewsom When you have high gas taxes, environmental laws that are fighting against gas/ oil and laws calling for special gas blends in winter or summer you get ridiculous prices on everything, ruining livelihoods.

https://t.co/B52jEo01YZ

https://t.co/KV9wpzU4my

https://t.co/VPq8OFNUT3"
118,"@Adieukrinistos_ @fitzelrond @RobinBrooksIIF How is it then lobbying by Greece, Cyprus and Malta? By the way: no shipowner is doing anything illegal. Half of EU continues to get Russian oil and gas. Without the Greek ships the price would have really rocketed"
119,"'A spokesperson for UK oil and gas companies rejected that, saying it was not profitable to capture all of it.

Scientists say that methane is, alongside carbon dioxide, one of the main contributors to global warming.'

Those 2 sentences sum it up.

https://t.co/Ho7n0GOMT2"
120,"https://t.co/ENvWYTyX5N Putin would seek to sell oil and gas to China and starve the E.U. if it because the Chinese government will not ask the questions the E.U. would, l find this is instructive for those following World games/policy."
121,"Iran ready to participate in Iraqi oil and gas projects

This was told by the managing director of the Iranian Gas Engineering and Development Company (IGEDC) Reza Noshadi."
122,"@RepAndyBiggsAZ US has 24+m ac under lease to oil &amp; gas co's, close to 1/2 are not used. End of 2021, there were 9,173 approved &amp; available permits to drill on Fed &amp; Res land. There is actually incentive for the co's not to drill."
123,@RepBoebert Don't know about you but I just bought my cheapest gas in almost a year and yet hardly anything changed in US oil production. Meanwhile US gas companies have reported record monster profits.  Do you think there's a correlation between corporate profit and gas prices? Maybe?
124,"@RobertN48977864 @KamVTV The USA is committed to deals done by Trump. In 2017, the Trump administration sold 550,000 barrels of crude oil to PetroChina.
The Trump administration trade agreement was simple. If China imports natural gas from the US, that will help rebalance the trade deficit"
125,"@StevePhoto5 @JeffWan58545375 @matzig_ron @Garrett_Archer @KariLakeWarRoom Really- Biden is working with the Cartel allowing the border to be open and poison our kids, he’s working with every Dictator to get oil and we have the start of WW3. The economy is awful we have inflation not seen in 4 decades, gas has been at record highs and interest rates are"
126,"@Summerskies12 @JaeaGeep @paulg Everything runs on oil and coal now.
Natural gas is an excellent low emission fuel, and there are cleaner ways to burn coal which we have in abundance.
But windmills cost more energy to create than they'll ever produce. And solar has it's own issues. 😕 https://t.co/3t3eWkvPRH"
127,"@extradeadjcb I advise younguns (when I can) to avoid prestige industries--the arts, writing, etc.--and find work in legacy industries: heavy equipment, oil &amp; gas, that kind of thing.

""Remember those guys from grade school who were okay guys but only got Cs? You'll be competing against THEM."""
128,@DrTLeeBrown Another reason might be that China-Myanmar oil and gas pipelines connect the Indian Ocean to Kunming. China has also declared Yunnan as the Gateway to South Asia.
129,"@morten @Captaincharlyc1 @elonmusk @Renew_Democracy @Kasparov63 @AVindman You don't have anything from a Chinese giga factory? Or anything made using Gulf or Russian oil and gas, or that Gulf money invests in?"
130,"@MaximeBernier Peter, Peter pumpkin eater, fyi, Canadian inflation is much lower than many other industrialized nations. Corporate greed is a factor. Profits are up for many companies, especially the oil companies are making profits on gas and diesel and heating oil. Blocking you"
131,"10L0L Golf Cart Tune Up Kit for 1992-up Club Car DS 4-Cycle Gas Carts with FE350 FE290 Oil Filter Fuel Filter Air Filter Spar VPV81NJ

https://t.co/mqB67kxNZz https://t.co/KiFyOXp7zH"
132,@rhemrajani9 Oil and Gas investor doesn’t think Tesla will succeed? 🥱
133,“Betsi in Flowers &amp; Pearls.” Betsij Kaatje van Geldere age 11 murdered in a gas chamber in Auschwitz in 1942. How might she have grown had she lived?  #painting #Holocaust child #art oil pastels #susankirschbaum #nofilter ✡️💔🔥 https://t.co/VhdQJnp5ta
134,"""cutting down on it in the oil and gas production that accounts for 11% of emissions is considered low-hanging fruit"". Saying it's not profitable isn't an excuse. 

BBC News - Climate change: Wasted methane gas 'a scandal'
https://t.co/4DHoP4UnP3"
135,@ColinGrice @MhehedZherting @afneil Whatever Colin.   Carry on buying your coal.  Or wasting your money on gas and oil.   Stop being so 19th century and wake up to the technology that’s available to save people money and save carbon.
136,"@JoeNBC @VeryEasily Exactly what did Biden do to lower oil prices &amp; if you are willing to give credit to Biden for lowering these gas prices, did you criticize him for allowing them to be the highest in history?  Diesel that I need for my farm to feed you democrat slugs us STILL over $6/gal!!!"
137,"@bowtiedbrazil Yup. Genuine curiosity in the line of questioning in the calls. 

Currently in a sales cycle with a MM Oil and Gas co right now and experiencing the same. 

It’s a breathe of fresh air."
138,"@GavinNewsom Also, did you notice gas prices went down after the midterms?

Clearly the oil companies kept gas prices high to hurt Dems and help their Republican stooges win election.

Don’t be surprised when prices spike again before the 2024 elections."
139,@Hell6roth @RobinBrooksIIF @KevinSoftcock_ Infiltrated ? How? There are no sanctions on Russian oil at this point- Russia oil and gas still flows even in Ukranian pipes and several EU countries import it (not Greece). Shipowners are off shore entities: they are not Greece. So think before you tweet
140,@ChrisEv06631592 @EuOutta @BrunoTheBridge @of_flocks @Martin020455 @David_Vaporium @mindedmusically @albaa_maha @andrewsibley15 @LeftBehindPoet @Rayjudd7 @1ainTro11sBots @CredaCreda @thegrimbarian @BeowulfSchaefer @Musc1esbri2 @Obohobofromnobo @Sibella29_ @The_Leaver @cathyby @Davidmetroland @LordOfFreedom2 @somechewlip @HWick_Chris @N1geTro115T1ts @Roblev0 @Claesson_Kate @displacedyoon @resiguru @IanGianni @David19531501 @ConraddKonnrad @wobski421 @Gazza41 @MediaVentus @Chr1s_not_a_bot @bazcarter15 @leftstance @ShaneJa16905901 @SamanthaFoxy1 @JohnRya13591294 @auto_rec_bot @suastusa @GeoffBarton9 @stevesdog1 @sunick51 @boomer_ish @Jimbo12449841 @ThatAndreCamara @NewforestStock No windfall tax on production of gas and oil for eu countries govt to keep gas prices down. At least uk can fund its purchases. This time next year. 😂😂😂😂😂
141,"@EnglerYves @wavetossed @cafreeland You should have asked why Canadian taxpayer money is being laundered through a Nazi party in Ukraine while Canadians face freezing to death because they can't afford thier fuel oil, natural gas, or electric bills"
142,"@RepAndyBiggsAZ There are more than 500 oil/gas rigs drilling now than there were in 2019. We are drilling, dude."
143,"@Mack3702 @mgracey63 You are lazy. The western provinces, Ont, and NB are included in this. The other prov's have their own plan. This is what the tax on gas is currently, I can't remember the carbon tax on heating oil, it's a little higher. https://t.co/GTe0XmSHeX"
144,@RepTomEmmer Looks like we’d rather outsource our dirty oil production to dubious neighbors instead of doing it ourselves. Germany did this with Russian gas. Venez not going to invade but still just as dumb.
145,@JimmySecUK The same reason much of Canada’s oil and gas producing areas are drilled during the winter.  The muskeg is too soft when not frozen.
146,"@JoeNBC Gas prices in this country rose due in fact to Biden’s EO.. it was an immediate and direct effect.  But, since he hasn’t reversed any of it, the oil price slide has absolutely nothing to do with him. https://t.co/Zcc4A5wIfI"
